% 1. Title: Image Segmentation data
%
% 2. Source Information
%    -- Creators: Vision Group, University of Massachusetts
%    -- Donor: Vision Group (Carla Brodley, brodley@cs.umass.edu)
%    -- Date: November, 1990
%
% 3. Past Usage: None yet published
%
% 4. Relevant Information:
%
%    The instances were drawn randomly from a database of 7 outdoor
%    images.  The images were handsegmented to create a classification
%    for every pixel.
%
%    Each instance is a 3x3 region.
%
% 5. Number of Instances: Training data: 210  Test data: 2100
%
% 6. Number of Attributes: 19 continuous attributes
%
% 7. Attribute Information:
%
%     1.  region-centroid-col:  the column of the center pixel of the region.
%     2.  region-centroid-row:  the row of the center pixel of the region.
%     3.  region-pixel-count:  the number of pixels in a region = 9.
%     4.  short-line-density-5:  the results of a line extractoin algorithm that
%          counts how many lines of length 5 (any orientation) with
%          low contrast, less than or equal to 5, go through the region.
%     5.  short-line-density-2:  same as short-line-density-5 but counts lines
%          of high contrast, greater than 5.
%     6.  vedge-mean:  measure the contrast of horizontally
%          adjacent pixels in the region.  There are 6, the mean and
%          standard deviation are given.  This attribute is used as
%         a vertical edge detector.
%     7.  vegde-sd:  (see 6)
%     8.  hedge-mean:  measures the contrast of vertically adjacent
%           pixels. Used for horizontal line detection.
%     9.  hedge-sd: (see 8).
%     10. intensity-mean:  the average over the region of (R + G + B)/3
%     11. rawred-mean: the average over the region of the R value.
%     12. rawblue-mean: the average over the region of the B value.
%     13. rawgreen-mean: the average over the region of the G value.
%     14. exred-mean: measure the excess red:  (2R - (G + B))
%     15. exblue-mean: measure the excess blue:  (2B - (G + R))
%     16. exgreen-mean: measure the excess green:  (2G - (R + B))
%     17. value-mean:  3-d nonlinear transformation
%          of RGB. (Algorithm can be found in Foley and VanDam, Fundamentals
%          of Interactive Computer Graphics)
%     18. saturatoin-mean:  (see 17)
%     19. hue-mean:  (see 17)
%
% 8. Missing Attribute Values: None
%
% 9. Class Distribution:
%
%    Classes:  brickface, sky, foliage, cement, window, path, grass.
%
%    30 instances per class for training data.
%    300 instances per class for test data.
%
%
%
%
%
% Relabeled values in attribute class
%    From: 1                       To: brickface
%    From: 2                       To: sky
%    From: 3                       To: foliage
%    From: 4                       To: cement
%    From: 5                       To: window
%    From: 6                       To: path
%    From: 7                       To: grass
%
@RELATION segment

@ATTRIBUTE region-centroid-col REAL
@ATTRIBUTE region-centroid-row REAL
@ATTRIBUTE region-pixel-count REAL
@ATTRIBUTE short-line-density-5 REAL
@ATTRIBUTE short-line-density-2 REAL
@ATTRIBUTE vedge-mean REAL
@ATTRIBUTE vegde-sd REAL
@ATTRIBUTE hedge-mean REAL
@ATTRIBUTE hedge-sd REAL
@ATTRIBUTE intensity-mean REAL
@ATTRIBUTE rawred-mean REAL
@ATTRIBUTE rawblue-mean REAL
@ATTRIBUTE rawgreen-mean REAL
@ATTRIBUTE exred-mean REAL
@ATTRIBUTE exblue-mean REAL
@ATTRIBUTE exgreen-mean REAL
@ATTRIBUTE value-mean REAL
@ATTRIBUTE saturation-mean REAL
@ATTRIBUTE hue-mean REAL
@ATTRIBUTE class {brickface, sky, foliage, cement, window, path, grass}

@DATA
?,?,?,?,?,0.722222,?,4.66667,4.30504,42.0741,38.7778,49.8889,37.5556,?,?,?,?,?,-2.00326,cement
?,?,?,?,?,1.27778,?,2.72222,2.9963,3.96296,1.44444,6.44444,4.0,?,?,?,?,?,-2.61865,foliage
?,?,?,?,?,11.2222,?,0.666667,0.365146,62.8148,53.7778,80.0,54.6667,?,?,?,?,?,-2.12621,cement
?,?,?,?,?,1.27778,?,2.27778,1.70511,12.1481,9.77778,9.33333,17.3333,?,?,?,?,?,2.04387,grass
?,?,?,?,?,1.66667,?,1.33333,1.02222,18.6296,19.7778,22.2222,13.8889,?,?,?,?,?,-1.33379,brickface
?,?,?,?,?,1.33333,?,2.55556,1.64204,5.88889,3.22222,7.77778,6.66667,?,?,?,?,?,-2.86995,foliage
?,?,?,?,?,0.222222,?,0.444444,0.0740741,0.888889,0.0,2.44444,0.222222,?,?,?,?,?,-2.16176,foliage
?,?,?,?,?,2.16667,?,4.44444,2.61336,51.2963,45.4444,64.3333,44.1111,?,?,?,?,?,-2.0209,path
?,?,?,?,?,0.111111,?,0.111111,0.0296296,0.0740741,0.0,0.222222,0.0,?,?,?,?,?,-2.0944,window
?,?,?,?,?,3.88889,?,2.11111,2.39134,12.1852,6.66667,20.8889,9.0,?,?,?,?,?,-2.26899,foliage
?,?,?,?,?,2.55556,?,3.22222,2.49147,13.2222,10.3333,10.2222,19.1111,?,?,?,?,?,2.0861,grass
?,?,?,?,?,9.0,?,11.1667,184.522,53.7778,49.0,64.4444,47.8889,?,?,?,?,?,-2.01738,cement
?,?,?,?,?,1.0,?,2.88889,5.05185,143.444,136.889,150.889,142.556,?,?,?,?,?,-2.52165,sky
?,?,?,?,?,1.05556,?,1.38889,0.507407,22.5926,20.0,31.1111,16.6667,?,?,?,?,?,-1.84249,brickface
?,?,?,?,?,0.722221,?,1.55556,1.24126,44.8148,39.5556,55.0,39.8889,?,?,?,?,?,-2.11881,cement
?,?,?,?,?,1.5,?,3.55556,2.94895,15.037,13.7778,12.8889,18.4444,?,?,?,?,?,1.91095,grass
?,?,?,?,?,2.22222,?,3.44444,2.82581,55.8519,50.1111,69.1111,48.3333,?,?,?,?,?,-2.00156,path
?,?,?,?,?,0.944445,?,0.833333,0.691215,1.77778,0.444444,3.88889,1.0,?,?,?,?,?,-2.23756,foliage
?,?,?,?,?,1.16667,?,1.16667,0.655555,13.7037,10.6667,12.6667,17.7778,?,?,?,?,?,2.38268,grass
?,?,?,?,?,3.16667,?,6.0,5.18545,60.2593,52.4444,76.2222,52.1111,?,?,?,?,?,-2.07765,path
?,?,?,?,?,0.222222,?,0.5,0.0777778,4.14815,3.88889,6.66667,1.88889,?,?,?,?,?,-1.47564,brickface
?,?,?,?,?,6.66667,?,9.44444,12.33,34.7037,20.5556,57.3333,26.2222,?,?,?,?,?,-2.25556,foliage
?,?,?,?,?,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0.0,window
?,?,?,?,?,1.0,?,2.05556,2.03761,16.2963,13.5556,13.8889,21.4444,?,?,?,?,?,2.14143,grass
