% 1. Title: Johns Hopkins University Ionosphere database
%
% 2. Source Information:
%   -- Donor: Vince Sigillito (vgs@aplcen.apl.jhu.edu)
%   -- Date: 1989
%   -- Source: Space Physics Group
%              Applied Physics Laboratory
%              Johns Hopkins University
%              Johns Hopkins Road
%              Laurel, MD 20723
%
% 3. Past Usage:
%   -- Sigillito, V. G., Wing, S. P., Hutton, L. V., \& Baker, K. B. (1989).
%      Classification of radar returns from the ionosphere using neural
%      networks. Johns Hopkins APL Technical Digest, 10, 262-266.
%
%      They investigated using backprop and the perceptron training algorithm
%      on this database.  Using the first 200 instances for training, which
%      were carefully split almost 50% positive and 50% negative, they found
%      that a "linear" perceptron attained 90.7%, a "non-linear" perceptron
%      attained 92%, and backprop an average of over 96% accuracy on the
%      remaining 150 test instances, consisting of 123 "good" and only 24 "bad"
%      instances.  (There was a counting error or some mistake somewhere; there
%      are a total of 351 rather than 350 instances in this domain.) Accuracy
%      on "good" instances was much higher than for "bad" instances.  Backprop
%      was tested with several different numbers of hidden units (in [0,15])
%      and incremental results were also reported (corresponding to how well
%      the different variants of backprop did after a periodic number of
%      epochs).
%
%      David Aha (aha@ics.uci.edu) briefly investigated this database.
%      He found that nearest neighbor attains an accuracy of 92.1%, that
%      Ross Quinlan's C4 algorithm attains 94.0% (no windowing), and that
%      IB3 (Aha \& Kibler, IJCAI-1989) attained 96.7% (parameter settings:
%      70% and 80% for acceptance and dropping respectively).
%
% 4. Relevant Information:
%   This radar data was collected by a system in Goose Bay, Labrador.  This
%   system consists of a phased array of 16 high-frequency antennas with a
%   total transmitted power on the order of 6.4 kilowatts.  See the paper
%   for more details.  The targets were free electrons in the ionosphere.
%   "Good" radar returns are those showing evidence of some type of structure
%   in the ionosphere.  "Bad" returns are those that do not; their signals pass
%   through the ionosphere.
%
%   Received signals were processed using an autocorrelation function whose
%   arguments are the time of a pulse and the pulse number.  There were 17
%   pulse numbers for the Goose Bay system.  Instances in this databse are
%   described by 2 attributes per pulse number, corresponding to the complex
%   values returned by the function resulting from the complex electromagnetic
%   signal.
%
% 5. Number of Instances: 351
%
% 6. Number of Attributes: 34 plus the class attribute
%   -- All 34 predictor attributes are continuous
%
% 7. Attribute Information:
%   -- All 34 are continuous, as described above
%   -- The 35th attribute is either "good" or "bad" according to the definition
%      summarized above.  This is a binary classification task.
%
% 8. Missing Values: None
@RELATION ionosphere

@ATTRIBUTE a01 REAL
@ATTRIBUTE a02 REAL
@ATTRIBUTE a03 REAL
@ATTRIBUTE a04 REAL
@ATTRIBUTE a05 REAL
@ATTRIBUTE a06 REAL
@ATTRIBUTE a07 REAL
@ATTRIBUTE a08 REAL
@ATTRIBUTE a09 REAL
@ATTRIBUTE a10 REAL
@ATTRIBUTE a11 REAL
@ATTRIBUTE a12 REAL
@ATTRIBUTE a13 REAL
@ATTRIBUTE a14 REAL
@ATTRIBUTE a15 REAL
@ATTRIBUTE a16 REAL
@ATTRIBUTE a17 REAL
@ATTRIBUTE a18 REAL
@ATTRIBUTE a19 REAL
@ATTRIBUTE a20 REAL
@ATTRIBUTE a21 REAL
@ATTRIBUTE a22 REAL
@ATTRIBUTE a23 REAL
@ATTRIBUTE a24 REAL
@ATTRIBUTE a25 REAL
@ATTRIBUTE a26 REAL
@ATTRIBUTE a27 REAL
@ATTRIBUTE a28 REAL
@ATTRIBUTE a29 REAL
@ATTRIBUTE a30 REAL
@ATTRIBUTE a31 REAL
@ATTRIBUTE a32 REAL
@ATTRIBUTE a33 REAL
@ATTRIBUTE a34 REAL
@ATTRIBUTE class {b, g}

@DATA
?,?,?,-0.02712,0.67119,0.04068,0.52881,-0.04407,?,?,?,-0.07797,0.57966,-0.02034,0.5322,?,?,0.11864,0.56949,?,0.5322,?,0.71525,?,?,?,0.57262,?,?,-0.00339,?,?,0.50169,0.0678,g
?,?,?,-0.0349,0.59085,0.00481,0.60409,-0.07461,?,?,?,-0.07461,0.67028,0.0722,0.62936,?,?,0.09146,0.67148,?,0.58965,?,0.5006,?,?,?,0.60463,?,?,0.04452,?,?,0.61372,-0.09146,g
?,?,?,0.09802,1.0,0.25101,0.9839,0.33044,?,?,?,0.60297,0.56937,0.71942,0.55311,?,?,0.82193,0.21137,?,0.09709,?,-0.01734,?,?,?,-0.22839,?,?,0.60948,?,?,-0.42815,0.44534,g
?,?,?,0.00876,1.0,0.00843,0.98658,-0.00763,?,?,?,-0.0351,1.0,-0.01271,1.0,?,?,-0.01175,0.98485,?,1.0,?,1.0,?,?,?,0.99188,?,?,-0.02478,?,?,0.9842,-0.04112,g
?,?,?,1.0,1.0,1.0,0.9101,1.0,?,?,?,1.0,-1.0,1.0,-1.0,?,?,-0.57779,-1.0,?,-1.0,?,-0.52838,?,?,?,1.0,?,?,-1.0,?,?,1.0,0.34845,g
?,?,?,0.11385,0.70019,-0.12144,0.81594,0.09677,?,?,?,-0.0778,0.6907,0.12524,0.58634,?,?,-0.03416,0.6945,?,0.72676,?,0.32068,?,?,?,0.4909,?,?,0.32448,?,?,0.56167,0.1518,g
?,?,?,0.09091,0.95455,-0.09091,0.77273,0.0,?,?,?,0.0,1.0,0.04545,0.90909,?,?,0.0,1.0,?,0.86364,?,0.77273,?,?,?,0.91541,?,?,0.09091,?,?,0.86364,0.04545,g
?,?,?,-1.0,1.0,0.82857,1.0,-1.0,?,?,?,0.96161,1.0,-0.37679,1.0,?,?,0.13839,1.0,?,1.0,?,-0.84286,?,?,?,1.0,?,?,-1.0,?,?,1.0,-1.0,b
?,?,?,-0.01657,0.98122,-0.01989,0.95691,-0.03646,?,?,?,-0.03315,0.89061,-0.01436,0.90608,?,?,-0.00884,0.80773,?,0.88729,?,0.92155,?,?,?,0.89147,?,?,-0.17238,?,?,0.87403,-0.16243,g
?,?,?,-0.14384,0.91324,-0.00228,0.96575,-0.17123,?,?,?,0.00228,0.93607,-0.08447,0.91324,?,?,-0.08676,0.97032,?,1.0,?,0.92009,?,?,?,0.94043,?,?,-0.20091,?,?,0.96575,-0.21918,g
?,?,?,1.0,0.0,0.0,1.0,-1.0,?,?,?,1.0,1.0,1.0,1.0,?,?,1.0,1.0,?,1.0,?,-1.0,?,?,?,1.0,?,?,1.0,?,?,1.0,-1.0,b
?,?,?,-0.0019,0.60761,0.43204,0.92314,-0.40129,?,?,?,0.09061,0.99676,0.08172,0.91586,?,?,-0.25324,0.87379,?,0.84871,?,0.75081,?,?,?,0.87293,?,?,0.09385,?,?,0.85841,-0.14725,g
?,?,?,-0.24242,0.62655,0.0127,0.45455,0.09091,?,?,?,-0.21212,0.57576,0.15152,0.39394,?,?,0.04561,0.51515,?,0.78788,?,0.30303,?,?,?,0.46362,?,?,-0.0303,?,?,0.39394,0.24242,g
?,?,?,0.0084,0.83312,0.01659,0.82638,0.02469,?,?,?,0.05882,0.79093,0.04731,0.77441,?,?,0.19328,0.84034,?,0.71285,?,0.68895,?,?,?,0.63728,?,?,0.01681,?,?,0.5533,0.08891,g
