,,,2.51,,,8.83,,0.0,6
,,,1.51,,,11.27,,0.28,4
,,,1.74,,,7.36,,0.12,1
,,,1.86,,,10.09,,0.0,4
,,,1.33,,,8.59,,0.0,0
,,,1.28,,,9.07,,0.0,0
,,,1.55,,,8.05,,0.09,1
,,,1.24,,,8.68,,0.35,1
,,,1.3,,,8.69,,0.14,0
,,,0.29,,,9.0,,0.0,0
,,,0.83,,,9.49,,0.0,2
,,,1.14,,,8.17,,0.0,0
,,,1.94,,,8.48,,0.0,6
,,,1.74,,,9.95,,0.0,5
,,,1.25,,,7.94,,0.14,1
,,,1.99,,,8.28,,0.0,6
,,,1.31,,,8.61,,0.0,6
,,,1.18,,,8.83,,0.16,0
,,,0.51,,,10.06,,0.16,0
,,,3.02,,,6.93,,0.0,4
,,,1.41,,,8.43,,0.0,0
,,,0.82,,,10.17,,0.03,0
,,,2.88,,,9.18,,0.0,6
,,,1.54,,,7.9,,0.0,1
,,,1.61,,,8.11,,0.0,1
,,,0.58,,,9.65,,0.0,2
,,,1.26,,,8.6,,0.0,1
,,,1.67,,,9.57,,0.17,1
,,,1.41,,,8.31,,0.1,1
,,,1.27,,,8.32,,0.32,1
,,,2.68,,,9.07,,0.05,6
,,,0.75,,,8.89,,0.24,2
,,,1.18,,,8.89,,0.0,0
,,,1.54,,,8.03,,0.0,1
,,,1.33,,,8.28,,0.0,1
,,,1.52,,,7.83,,0.0,1
,,,1.34,,,8.75,,0.0,0
,,,1.35,,,8.59,,0.0,0
,,,1.0,,,16.19,,0.24,1
,,,1.28,,,9.14,,0.11,0
,,,1.29,,,8.7,,0.0,0
,,,0.56,,,10.99,,0.0,1
,,,1.19,,,9.77,,0.0,5
