,,0.0,2.51,73.05,0.05,8.83,,0.0,6
,,0.33,1.51,73.39,0.13,11.27,,0.28,4
,,3.67,1.74,71.87,0.16,7.36,,0.12,1
,,1.85,1.86,72.69,0.6,10.09,,0.0,4
,,3.39,1.33,72.76,0.59,8.59,,0.0,0
,,2.84,1.28,72.85,0.55,9.07,,0.0,0
,,3.52,1.55,72.87,0.68,8.05,,0.09,1
,,3.67,1.24,72.57,0.62,8.68,,0.35,1
,,3.56,1.3,73.08,0.61,8.69,,0.14,0
,,3.75,0.29,72.02,0.03,9.0,,0.0,0
,,3.9,0.83,71.5,0.0,9.49,,0.0,2
,,3.6,1.14,73.09,0.58,8.17,,0.0,0
,,0.0,1.94,73.61,0.0,8.48,,0.0,6
,,0.78,1.74,72.5,0.0,9.95,,0.0,5
,,3.52,1.25,72.88,0.37,7.94,,0.14,1
,,0.0,1.99,73.11,0.0,8.28,,0.0,6
,,1.83,1.31,70.43,0.31,8.61,,0.0,6
,,3.37,1.18,72.72,0.57,8.83,,0.16,0
,,3.72,0.51,71.75,0.09,10.06,,0.16,0
,,0.0,3.02,70.7,6.21,6.93,,0.0,4
,,3.48,1.41,72.64,0.59,8.43,,0.0,0
,,3.58,0.82,71.99,0.12,10.17,,0.03,0
,,0.0,2.88,72.61,0.08,9.18,,0.0,6
,,3.56,1.54,73.11,0.72,7.9,,0.0,1
,,3.54,1.61,72.54,0.68,8.11,,0.0,1
,,3.76,0.58,71.79,0.11,9.65,,0.0,2
,,3.61,1.26,72.75,0.56,8.6,,0.0,1
,,2.09,1.67,72.18,0.53,9.57,,0.17,1
,,3.9,1.41,72.33,0.55,8.31,,0.1,1
,,3.87,1.27,71.96,0.54,8.32,,0.32,1
,,0.0,2.68,73.39,0.08,9.07,,0.05,6
,,3.54,0.75,72.65,0.16,8.89,,0.24,2
,,3.73,1.18,72.12,0.06,8.89,,0.0,0
,,3.61,1.54,72.39,0.66,8.03,,0.0,1
,,3.89,1.33,72.38,0.51,8.28,,0.0,1
,,3.59,1.52,73.1,0.67,7.83,,0.0,1
,,3.54,1.34,72.95,0.57,8.75,,0.0,0
,,3.57,1.35,73.02,0.62,8.59,,0.0,0
,,0.0,1.0,70.16,0.12,16.19,,0.24,1
,,3.33,1.28,72.36,0.6,9.14,,0.11,0
,,3.62,1.29,72.79,0.59,8.7,,0.0,0
,,0.0,0.56,74.45,0.0,10.99,,0.0,1
,,2.41,1.19,72.76,0.0,9.77,,0.0,5
