,,,,,,4.22,3.84,,,,,3.14,,-0.66,,,-0.48,,,-2.32,,0.41,,,,,,,,,,,,,,,,2.3,,1
,,,,,,3.78,3.68,,,,,3.25,,2.62,,,1.62,,,0.24,,0.61,,,,,,,,,,,,,,,,0.4,,2
,,,,,,1.89,3.63,,,,,4.04,,1.71,,,-0.81,,,0.33,,0.28,,,,,,,,,,,,,,,,3.02,,1
,,,,,,3.67,2.43,,,,,5.76,,2.63,,,2.04,,,0.18,,0.64,,,,,,,,,,,,,,,,-2.15,,2
,,,,,,5.7,4.86,,,,,0.3,,0.61,,,0.0,,,-0.63,,-0.29,,,,,,,,,,,,,,,,0.15,,1
,,,,,,2.13,3.7,,,,,3.23,,1.0,,,0.56,,,-0.15,,-0.83,,,,,,,,,,,,,,,,-0.48,,1
,,,,,,3.89,3.15,,,,,0.96,,2.33,,,1.1,,,0.1,,2.28,,,,,,,,,,,,,,,,-0.41,,0
,,,,,,6.84,5.23,,,,,-1.04,,1.55,,,-0.07,,,-0.92,,-1.18,,,,,,,,,,,,,,,,0.35,,0
,,,,,,3.28,3.73,,,,,1.25,,1.28,,,0.37,,,-1.04,,0.8,,,,,,,,,,,,,,,,0.56,,1
,,,,,,6.36,5.79,,,,,-0.02,,-0.94,,,-0.09,,,1.16,,-1.48,,,,,,,,,,,,,,,,-1.26,,1
,,,,,,1.16,3.71,,,,,4.82,,3.52,,,0.86,,,-0.87,,0.04,,,,,,,,,,,,,,,,-0.17,,2
,,,,,,2.94,0.66,,,,,3.4,,1.26,,,-0.7,,,0.71,,0.97,,,,,,,,,,,,,,,,1.74,,2
,,,,,,4.79,3.56,,,,,1.17,,0.67,,,-0.01,,,0.06,,0.3,,,,,,,,,,,,,,,,1.79,,1
,,,,,,1.57,2.12,,,,,3.74,,3.23,,,-0.41,,,-0.01,,0.75,,,,,,,,,,,,,,,,-1.38,,2
,,,,,,5.37,5.09,,,,,0.85,,1.34,,,0.94,,,0.35,,1.4,,,,,,,,,,,,,,,,-1.65,,0
,,,,,,4.19,4.04,,,,,1.01,,-0.64,,,1.13,,,0.76,,-0.72,,,,,,,,,,,,,,,,0.4,,1
,,,,,,4.43,2.73,,,,,2.45,,1.68,,,0.01,,,-1.25,,1.04,,,,,,,,,,,,,,,,0.32,,0
,,,,,,3.29,2.57,,,,,1.17,,2.1,,,2.7,,,0.35,,0.62,,,,,,,,,,,,,,,,-0.32,,0
,,,,,,3.17,3.06,,,,,4.07,,3.04,,,2.22,,,0.02,,0.18,,,,,,,,,,,,,,,,1.01,,0
,,,,,,6.04,4.81,,,,,0.99,,1.32,,,-0.04,,,0.19,,0.67,,,,,,,,,,,,,,,,-0.66,,0
,,,,,,1.16,1.37,,,,,4.11,,3.71,,,0.91,,,0.08,,-0.39,,,,,,,,,,,,,,,,0.23,,2
,,,,,,2.01,1.21,,,,,0.69,,3.62,,,2.98,,,-0.27,,-0.75,,,,,,,,,,,,,,,,1.66,,0
,,,,,,1.63,2.25,,,,,4.18,,0.95,,,0.27,,,-0.84,,0.4,,,,,,,,,,,,,,,,-1.25,,1
,,,,,,3.49,6.02,,,,,3.52,,2.88,,,1.07,,,0.53,,-1.57,,,,,,,,,,,,,,,,2.56,,0
,,,,,,0.54,0.3,,,,,2.83,,3.92,,,2.7,,,-0.73,,-0.6,,,,,,,,,,,,,,,,0.83,,2
,,,,,,-1.33,0.56,,,,,3.26,,4.0,,,3.51,,,0.2,,-3.04,,,,,,,,,,,,,,,,-0.65,,0
,,,,,,4.81,4.22,,,,,3.0,,2.56,,,-2.09,,,1.65,,-2.67,,,,,,,,,,,,,,,,0.21,,1
,,,,,,0.37,1.43,,,,,5.63,,3.02,,,1.26,,,-0.49,,0.37,,,,,,,,,,,,,,,,0.43,,2
,,,,,,2.13,0.66,,,,,3.43,,4.13,,,-0.59,,,1.07,,-0.58,,,,,,,,,,,,,,,,-0.16,,0
,,,,,,1.13,1.06,,,,,3.95,,5.91,,,2.68,,,0.71,,1.14,,,,,,,,,,,,,,,,0.19,,2
,,,,,,0.51,0.54,,,,,4.28,,4.76,,,1.5,,,1.23,,-1.08,,,,,,,,,,,,,,,,-0.56,,2
,,,,,,0.48,0.9,,,,,3.06,,6.93,,,2.91,,,3.21,,-1.29,,,,,,,,,,,,,,,,0.41,,2
,,,,,,1.95,2.74,,,,,5.88,,0.67,,,0.28,,,-0.11,,0.9,,,,,,,,,,,,,,,,0.69,,2
,,,,,,0.65,2.69,,,,,4.31,,5.05,,,0.96,,,-1.75,,-0.57,,,,,,,,,,,,,,,,-1.47,,2
,,,,,,2.4,1.4,,,,,2.41,,3.72,,,2.17,,,-0.67,,-0.39,,,,,,,,,,,,,,,,-0.11,,0
,,,,,,1.72,0.81,,,,,3.06,,3.27,,,0.98,,,0.35,,2.68,,,,,,,,,,,,,,,,0.07,,0
,,,,,,0.9,3.21,,,,,3.26,,4.15,,,2.91,,,-0.18,,-1.37,,,,,,,,,,,,,,,,0.37,,0
,,,,,,0.94,0.56,,,,,3.48,,4.17,,,1.71,,,0.7,,-1.23,,,,,,,,,,,,,,,,0.65,,0
,,,,,,2.54,2.79,,,,,4.49,,2.25,,,0.22,,,1.32,,0.81,,,,,,,,,,,,,,,,0.39,,2
,,,,,,-1.22,0.12,,,,,2.91,,5.85,,,1.65,,,1.35,,-0.62,,,,,,,,,,,,,,,,-0.55,,2
,,,,,,0.06,0.21,,,,,5.24,,5.83,,,3.39,,,-0.88,,-0.89,,,,,,,,,,,,,,,,0.81,,0
,,,,,,3.2,2.7,,,,,2.48,,1.95,,,-1.19,,,2.32,,-1.15,,,,,,,,,,,,,,,,-0.28,,1
,,,,,,2.33,1.39,,,,,4.98,,3.2,,,0.62,,,-0.16,,-0.68,,,,,,,,,,,,,,,,0.67,,2
,,,,,,2.68,1.72,,,,,0.91,,5.01,,,0.46,,,0.74,,-0.66,,,,,,,,,,,,,,,,-1.38,,0
,,,,,,6.59,6.49,,,,,1.28,,1.71,,,-0.45,,,-0.02,,0.54,,,,,,,,,,,,,,,,-0.14,,0
,,,,,,2.46,3.59,,,,,4.4,,3.09,,,0.68,,,-0.58,,0.92,,,,,,,,,,,,,,,,0.09,,2
