,,,,,,8.83,,,6
,,,,,,11.27,,,4
,,,,,,7.36,,,1
,,,,,,10.09,,,4
,,,,,,8.59,,,0
,,,,,,9.07,,,0
,,,,,,8.05,,,1
,,,,,,8.68,,,1
,,,,,,8.69,,,0
,,,,,,9.0,,,0
,,,,,,9.49,,,2
,,,,,,8.17,,,0
,,,,,,8.48,,,6
,,,,,,9.95,,,5
,,,,,,7.94,,,1
,,,,,,8.28,,,6
,,,,,,8.61,,,6
,,,,,,8.83,,,0
,,,,,,10.06,,,0
,,,,,,6.93,,,4
,,,,,,8.43,,,0
,,,,,,10.17,,,0
,,,,,,9.18,,,6
,,,,,,7.9,,,1
,,,,,,8.11,,,1
,,,,,,9.65,,,2
,,,,,,8.6,,,1
,,,,,,9.57,,,1
,,,,,,8.31,,,1
,,,,,,8.32,,,1
,,,,,,9.07,,,6
,,,,,,8.89,,,2
,,,,,,8.89,,,0
,,,,,,8.03,,,1
,,,,,,8.28,,,1
,,,,,,7.83,,,1
,,,,,,8.75,,,0
,,,,,,8.59,,,0
,,,,,,16.19,,,1
,,,,,,9.14,,,0
,,,,,,8.7,,,0
,,,,,,10.99,,,1
,,,,,,9.77,,,5
